condition,cases,median_foreground_voxels,q25_foreground_voxels,q75_foreground_voxels,median_background_voxels,median_observed_groups
complete,20,107.5,41.5,389.5,107.5,9.0
complete_fixed_25,20,90.0,35.5,140.75,107.5,9.0
complete_fixed_50,20,107.5,40.0,366.75,107.5,9.0
complete_fixed_75,20,107.5,41.5,389.5,107.5,9.0
component_fixed_25,20,90.0,35.5,140.75,107.5,3.0
component_fixed_50,20,107.5,40.0,366.75,107.5,5.0
component_fixed_75,20,107.5,41.5,389.5,107.5,7.0
component_natural_25,20,35.5,20.0,74.25,107.5,3.0
component_natural_50,20,59.5,21.5,166.5,107.5,5.0
component_natural_75,20,81.0,41.5,286.25,107.5,7.0
pixel_dropout_matched_25,20,35.5,20.0,74.25,107.5,9.0
pixel_dropout_matched_50,20,59.5,21.5,166.5,107.5,9.0
pixel_dropout_matched_75,20,81.0,41.5,286.25,107.5,9.0
