case_id,condition,construction_policy,parent_unique_fg,final_unique_fg,equalization_target_unique_fg,semantic_changed
coronacases_001,complete,unchanged_from_v1_0,314,314,314,False
coronacases_001,complete_fixed_25,post_transfer_fixed_pair_unique_voxel_thinning,305,211,211,True
coronacases_001,complete_fixed_50,post_transfer_fixed_pair_unique_voxel_thinning,314,277,277,True
coronacases_001,complete_fixed_75,fixed_pair_side_already_at_shared_training_grid_target_unchanged,314,314,314,False
coronacases_001,component_fixed_25,fixed_pair_side_already_at_shared_training_grid_target_unchanged,211,211,211,False
coronacases_001,component_fixed_50,fixed_pair_side_already_at_shared_training_grid_target_unchanged,277,277,277,False
coronacases_001,component_fixed_75,post_transfer_fixed_pair_unique_voxel_thinning,319,314,314,True
coronacases_001,component_natural_25,natural_component_omission_unchanged,84,84,84,False
coronacases_001,component_natural_50,natural_component_omission_unchanged,148,148,148,False
coronacases_001,component_natural_75,natural_component_omission_unchanged,243,243,243,False
coronacases_001,pixel_dropout_matched_25,post_transfer_unique_voxel_pixel_equalization,121,84,84,True
coronacases_001,pixel_dropout_matched_50,post_transfer_unique_voxel_pixel_equalization,177,148,148,True
coronacases_001,pixel_dropout_matched_75,post_transfer_unique_voxel_pixel_equalization,269,243,243,True
coronacases_002,complete,unchanged_from_v1_0,261,261,261,False
coronacases_002,complete_fixed_25,post_transfer_fixed_pair_unique_voxel_thinning,48,40,40,True
coronacases_002,complete_fixed_50,fixed_pair_side_already_at_shared_training_grid_target_unchanged,261,261,261,False
coronacases_002,complete_fixed_75,fixed_pair_side_already_at_shared_training_grid_target_unchanged,261,261,261,False
coronacases_002,component_fixed_25,fixed_pair_side_already_at_shared_training_grid_target_unchanged,40,40,40,False
coronacases_002,component_fixed_50,post_transfer_fixed_pair_unique_voxel_thinning,275,261,261,True
coronacases_002,component_fixed_75,post_transfer_fixed_pair_unique_voxel_thinning,269,261,261,True
coronacases_002,component_natural_25,natural_component_omission_unchanged,39,39,39,False
coronacases_002,component_natural_50,natural_component_omission_unchanged,132,132,132,False
coronacases_002,component_natural_75,natural_component_omission_unchanged,201,201,201,False
coronacases_002,pixel_dropout_matched_25,post_transfer_unique_voxel_pixel_equalization,55,39,39,True
coronacases_002,pixel_dropout_matched_50,post_transfer_unique_voxel_pixel_equalization,160,132,132,True
coronacases_002,pixel_dropout_matched_75,post_transfer_unique_voxel_pixel_equalization,226,201,201,True
coronacases_003,complete,unchanged_from_v1_0,353,353,353,False
coronacases_003,complete_fixed_25,fixed_pair_side_already_at_shared_training_grid_target_unchanged,260,260,260,False
coronacases_003,complete_fixed_50,fixed_pair_side_already_at_shared_training_grid_target_unchanged,353,353,353,False
coronacases_003,complete_fixed_75,fixed_pair_side_already_at_shared_training_grid_target_unchanged,353,353,353,False
coronacases_003,component_fixed_25,post_transfer_fixed_pair_unique_voxel_thinning,268,260,260,True
coronacases_003,component_fixed_50,post_transfer_fixed_pair_unique_voxel_thinning,359,353,353,True
coronacases_003,component_fixed_75,post_transfer_fixed_pair_unique_voxel_thinning,354,353,353,True
coronacases_003,component_natural_25,natural_component_omission_unchanged,83,83,83,False
coronacases_003,component_natural_50,natural_component_omission_unchanged,174,174,174,False
coronacases_003,component_natural_75,natural_component_omission_unchanged,271,271,271,False
coronacases_003,pixel_dropout_matched_25,post_transfer_unique_voxel_pixel_equalization,112,83,83,True
coronacases_003,pixel_dropout_matched_50,post_transfer_unique_voxel_pixel_equalization,215,174,174,True
coronacases_003,pixel_dropout_matched_75,post_transfer_unique_voxel_pixel_equalization,296,271,271,True
coronacases_004,complete,unchanged_from_v1_0,61,61,61,False
coronacases_004,complete_fixed_25,post_transfer_fixed_pair_unique_voxel_thinning,12,9,9,True
coronacases_004,complete_fixed_50,post_transfer_fixed_pair_unique_voxel_thinning,31,30,30,True
coronacases_004,complete_fixed_75,fixed_pair_side_already_at_shared_training_grid_target_unchanged,50,50,50,False
coronacases_004,component_fixed_25,fixed_pair_side_already_at_shared_training_grid_target_unchanged,9,9,9,False
coronacases_004,component_fixed_50,fixed_pair_side_already_at_shared_training_grid_target_unchanged,30,30,30,False
coronacases_004,component_fixed_75,fixed_pair_side_already_at_shared_training_grid_target_unchanged,50,50,50,False
coronacases_004,component_natural_25,natural_component_omission_unchanged,9,9,9,False
coronacases_004,component_natural_50,natural_component_omission_unchanged,30,30,30,False
coronacases_004,component_natural_75,natural_component_omission_unchanged,45,45,45,False
coronacases_004,pixel_dropout_matched_25,post_transfer_unique_voxel_pixel_equalization,14,9,9,True
coronacases_004,pixel_dropout_matched_50,post_transfer_unique_voxel_pixel_equalization,32,30,30,True
coronacases_004,pixel_dropout_matched_75,post_transfer_unique_voxel_pixel_equalization,49,45,45,True
coronacases_005,complete,unchanged_from_v1_0,20,20,20,False
coronacases_005,complete_fixed_25,fixed_pair_side_already_at_shared_training_grid_target_unchanged,3,3,3,False
coronacases_005,complete_fixed_50,fixed_pair_side_already_at_shared_training_grid_target_unchanged,7,7,7,False
coronacases_005,complete_fixed_75,post_transfer_fixed_pair_unique_voxel_thinning,20,19,19,True
coronacases_005,component_fixed_25,fixed_pair_side_already_at_shared_training_grid_target_unchanged,3,3,3,False
coronacases_005,component_fixed_50,post_transfer_fixed_pair_unique_voxel_thinning,9,7,7,True
coronacases_005,component_fixed_75,fixed_pair_side_already_at_shared_training_grid_target_unchanged,19,19,19,False
coronacases_005,component_natural_25,natural_component_omission_unchanged,3,3,3,False
coronacases_005,component_natural_50,natural_component_omission_unchanged,9,9,9,False
coronacases_005,component_natural_75,natural_component_omission_unchanged,20,20,20,False
coronacases_005,pixel_dropout_matched_25,post_transfer_unique_voxel_pixel_equalization,4,3,3,True
coronacases_005,pixel_dropout_matched_50,post_transfer_unique_voxel_pixel_equalization,8,9,9,True
coronacases_005,pixel_dropout_matched_75,already_exact_after_transfer_unchanged,20,20,20,False
coronacases_006,complete,unchanged_from_v1_0,30,30,30,False
coronacases_006,complete_fixed_25,post_transfer_fixed_pair_unique_voxel_thinning,30,28,28,True
coronacases_006,complete_fixed_50,fixed_pair_side_already_at_shared_training_grid_target_unchanged,30,30,30,False
coronacases_006,complete_fixed_75,fixed_pair_side_already_at_shared_training_grid_target_unchanged,30,30,30,False
coronacases_006,component_fixed_25,fixed_pair_side_already_at_shared_training_grid_target_unchanged,28,28,28,False
coronacases_006,component_fixed_50,post_transfer_fixed_pair_unique_voxel_thinning,31,30,30,True
coronacases_006,component_fixed_75,post_transfer_fixed_pair_unique_voxel_thinning,32,30,30,True
coronacases_006,component_natural_25,natural_component_omission_unchanged,14,14,14,False
coronacases_006,component_natural_50,natural_component_omission_unchanged,14,14,14,False
coronacases_006,component_natural_75,natural_component_omission_unchanged,30,30,30,False
coronacases_006,pixel_dropout_matched_25,post_transfer_unique_voxel_pixel_equalization,18,14,14,True
coronacases_006,pixel_dropout_matched_50,post_transfer_unique_voxel_pixel_equalization,18,14,14,True
coronacases_006,pixel_dropout_matched_75,already_exact_after_transfer_unchanged,30,30,30,False
coronacases_007,complete,unchanged_from_v1_0,72,72,72,False
coronacases_007,complete_fixed_25,fixed_pair_side_already_at_shared_training_grid_target_unchanged,72,72,72,False
coronacases_007,complete_fixed_50,fixed_pair_side_already_at_shared_training_grid_target_unchanged,72,72,72,False
coronacases_007,complete_fixed_75,fixed_pair_side_already_at_shared_training_grid_target_unchanged,72,72,72,False
coronacases_007,component_fixed_25,post_transfer_fixed_pair_unique_voxel_thinning,75,72,72,True
coronacases_007,component_fixed_50,post_transfer_fixed_pair_unique_voxel_thinning,78,72,72,True
coronacases_007,component_fixed_75,post_transfer_fixed_pair_unique_voxel_thinning,74,72,72,True
coronacases_007,component_natural_25,natural_component_omission_unchanged,28,28,28,False
coronacases_007,component_natural_50,natural_component_omission_unchanged,44,44,44,False
coronacases_007,component_natural_75,natural_component_omission_unchanged,54,54,54,False
coronacases_007,pixel_dropout_matched_25,post_transfer_unique_voxel_pixel_equalization,33,28,28,True
coronacases_007,pixel_dropout_matched_50,post_transfer_unique_voxel_pixel_equalization,54,44,44,True
coronacases_007,pixel_dropout_matched_75,post_transfer_unique_voxel_pixel_equalization,61,54,54,True
coronacases_008,complete,unchanged_from_v1_0,245,245,245,False
coronacases_008,complete_fixed_25,post_transfer_fixed_pair_unique_voxel_thinning,245,244,244,True
coronacases_008,complete_fixed_50,post_transfer_fixed_pair_unique_voxel_thinning,245,213,213,True
coronacases_008,complete_fixed_75,fixed_pair_side_already_at_shared_training_grid_target_unchanged,245,245,245,False
coronacases_008,component_fixed_25,fixed_pair_side_already_at_shared_training_grid_target_unchanged,244,244,244,False
coronacases_008,component_fixed_50,fixed_pair_side_already_at_shared_training_grid_target_unchanged,213,213,213,False
coronacases_008,component_fixed_75,post_transfer_fixed_pair_unique_voxel_thinning,246,245,245,True
coronacases_008,component_natural_25,natural_component_omission_unchanged,68,68,68,False
coronacases_008,component_natural_50,natural_component_omission_unchanged,124,124,124,False
coronacases_008,component_natural_75,natural_component_omission_unchanged,194,194,194,False
coronacases_008,pixel_dropout_matched_25,post_transfer_unique_voxel_pixel_equalization,82,68,68,True
coronacases_008,pixel_dropout_matched_50,post_transfer_unique_voxel_pixel_equalization,151,124,124,True
coronacases_008,pixel_dropout_matched_75,post_transfer_unique_voxel_pixel_equalization,210,194,194,True
coronacases_009,complete,unchanged_from_v1_0,65,65,65,False
coronacases_009,complete_fixed_25,fixed_pair_side_already_at_shared_training_grid_target_unchanged,65,65,65,False
coronacases_009,complete_fixed_50,fixed_pair_side_already_at_shared_training_grid_target_unchanged,65,65,65,False
coronacases_009,complete_fixed_75,fixed_pair_side_already_at_shared_training_grid_target_unchanged,65,65,65,False
coronacases_009,component_fixed_25,post_transfer_fixed_pair_unique_voxel_thinning,68,65,65,True
coronacases_009,component_fixed_50,post_transfer_fixed_pair_unique_voxel_thinning,70,65,65,True
coronacases_009,component_fixed_75,fixed_pair_side_already_at_shared_training_grid_target_unchanged,65,65,65,False
coronacases_009,component_natural_25,natural_component_omission_unchanged,19,19,19,False
coronacases_009,component_natural_50,natural_component_omission_unchanged,36,36,36,False
coronacases_009,component_natural_75,natural_component_omission_unchanged,44,44,44,False
coronacases_009,pixel_dropout_matched_25,post_transfer_unique_voxel_pixel_equalization,23,19,19,True
