case_id,condition,foreground_voxels,background_voxels,foreground_groups,background_sha256,semantic_sha256,construction_policy
coronacases_001,complete,314,279,43,06826c1bc4753f5aaa629f89f47420d9b4d395c176bb4cd2976d9d70535ff9eb,bdb2d311132e3019700acc75ad1da1e43a39cd0ee830b983e375470dee5c0e86,unchanged_from_v1_0
coronacases_001,complete_fixed_25,211,279,43,06826c1bc4753f5aaa629f89f47420d9b4d395c176bb4cd2976d9d70535ff9eb,b4c881b9f01cc8ecb221e928917059b6b196a3b5268fa936f9f09ac8f3c15e3a,post_transfer_fixed_pair_unique_voxel_thinning
coronacases_001,complete_fixed_50,277,279,43,06826c1bc4753f5aaa629f89f47420d9b4d395c176bb4cd2976d9d70535ff9eb,d3039b2a62aa7de5d38d72b5eef6f996e1cb17ce98d27ad681271dd2ecad84a6,post_transfer_fixed_pair_unique_voxel_thinning
coronacases_001,complete_fixed_75,314,279,43,06826c1bc4753f5aaa629f89f47420d9b4d395c176bb4cd2976d9d70535ff9eb,bdb2d311132e3019700acc75ad1da1e43a39cd0ee830b983e375470dee5c0e86,fixed_pair_side_already_at_shared_training_grid_target_unchanged
coronacases_001,component_fixed_25,211,279,11,06826c1bc4753f5aaa629f89f47420d9b4d395c176bb4cd2976d9d70535ff9eb,0d41c959c2ac30e7e4eee22953f73c9c51b7728d657b87e1a0e863e41416a1d8,fixed_pair_side_already_at_shared_training_grid_target_unchanged
coronacases_001,component_fixed_50,277,279,22,06826c1bc4753f5aaa629f89f47420d9b4d395c176bb4cd2976d9d70535ff9eb,38c9e5365aabbecff1527ed26519cbf856c8a079a2bfcea67d9c911cce400465,fixed_pair_side_already_at_shared_training_grid_target_unchanged
coronacases_001,component_fixed_75,314,279,33,06826c1bc4753f5aaa629f89f47420d9b4d395c176bb4cd2976d9d70535ff9eb,a4e64ad327828037305533768e2814b66dd01f5383ae65adf920b2f4524d4cdd,post_transfer_fixed_pair_unique_voxel_thinning
coronacases_001,component_natural_25,84,279,11,06826c1bc4753f5aaa629f89f47420d9b4d395c176bb4cd2976d9d70535ff9eb,befa813d04dfd2b9bbcf5b7443942276960551ad199f059af810566e51e5d7ec,natural_component_omission_unchanged
coronacases_001,component_natural_50,148,279,22,06826c1bc4753f5aaa629f89f47420d9b4d395c176bb4cd2976d9d70535ff9eb,a65cd715cac8b6e910fb9c51a3d45d1079f69f60d62335fa2afc99504501cfff,natural_component_omission_unchanged
coronacases_001,component_natural_75,243,279,33,06826c1bc4753f5aaa629f89f47420d9b4d395c176bb4cd2976d9d70535ff9eb,784727428231139327a0c98c615e845de1fb6d3f28967cd01be39285291b3e64,natural_component_omission_unchanged
coronacases_001,pixel_dropout_matched_25,84,279,43,06826c1bc4753f5aaa629f89f47420d9b4d395c176bb4cd2976d9d70535ff9eb,dce265201320dc76023ff63ff1b8da6e7c69aed1b14ee00295cf64b76917a945,post_transfer_unique_voxel_pixel_equalization
coronacases_001,pixel_dropout_matched_50,148,279,43,06826c1bc4753f5aaa629f89f47420d9b4d395c176bb4cd2976d9d70535ff9eb,6a058ca86a6d0b7ce89bf4a12bfcbe4b4cea8b05414cd9f9cad7e277c9c1d495,post_transfer_unique_voxel_pixel_equalization
coronacases_001,pixel_dropout_matched_75,243,279,43,06826c1bc4753f5aaa629f89f47420d9b4d395c176bb4cd2976d9d70535ff9eb,b317c76ec591ea2b3cbaa86b700c3038b8823bccdab5c06c8ce5b1e3f6fca61b,post_transfer_unique_voxel_pixel_equalization
coronacases_002,complete,261,214,27,ed690f6a218dd7a37bac50d15198e7d31514c5f2931463ac6835be4c77c8fdd7,dc781e26ebf956cfa108d4556c690127ec358c6be881f320347d53af12b58bba,unchanged_from_v1_0
coronacases_002,complete_fixed_25,40,214,27,ed690f6a218dd7a37bac50d15198e7d31514c5f2931463ac6835be4c77c8fdd7,5669daa811e1960f2dd5e5f6a5ef9330f91c75fa71172842c3a715e7bd7b97d6,post_transfer_fixed_pair_unique_voxel_thinning
coronacases_002,complete_fixed_50,261,214,27,ed690f6a218dd7a37bac50d15198e7d31514c5f2931463ac6835be4c77c8fdd7,dc781e26ebf956cfa108d4556c690127ec358c6be881f320347d53af12b58bba,fixed_pair_side_already_at_shared_training_grid_target_unchanged
coronacases_002,complete_fixed_75,261,214,27,ed690f6a218dd7a37bac50d15198e7d31514c5f2931463ac6835be4c77c8fdd7,dc781e26ebf956cfa108d4556c690127ec358c6be881f320347d53af12b58bba,fixed_pair_side_already_at_shared_training_grid_target_unchanged
coronacases_002,component_fixed_25,40,214,7,ed690f6a218dd7a37bac50d15198e7d31514c5f2931463ac6835be4c77c8fdd7,d6542396e594121bc6bc9a22bd19ff1ccddc6fa57be2806df239b07d4c049c6c,fixed_pair_side_already_at_shared_training_grid_target_unchanged
coronacases_002,component_fixed_50,261,214,14,ed690f6a218dd7a37bac50d15198e7d31514c5f2931463ac6835be4c77c8fdd7,54f91ed7658bc03d266e594b49dd07c6cfe3cd7e4792732e22be01861390dab2,post_transfer_fixed_pair_unique_voxel_thinning
coronacases_002,component_fixed_75,261,214,21,ed690f6a218dd7a37bac50d15198e7d31514c5f2931463ac6835be4c77c8fdd7,c32b4ceb29686a5037e8eff7ae282043d489d2ba7499bddcc0035f1faff45b8d,post_transfer_fixed_pair_unique_voxel_thinning
coronacases_002,component_natural_25,39,214,7,ed690f6a218dd7a37bac50d15198e7d31514c5f2931463ac6835be4c77c8fdd7,5bdc7133eafe091fd37a2237f20a78872bf604562244f81337637fa656b46436,natural_component_omission_unchanged
coronacases_002,component_natural_50,132,214,14,ed690f6a218dd7a37bac50d15198e7d31514c5f2931463ac6835be4c77c8fdd7,3ea7f000c00f9aaef93b6a4623b386b3beb73a85dc1435bf0d25e3fcd880ae44,natural_component_omission_unchanged
coronacases_002,component_natural_75,201,214,21,ed690f6a218dd7a37bac50d15198e7d31514c5f2931463ac6835be4c77c8fdd7,d790f9f17b655c6e2d012a92218787b95d3a3e46a7ccf801f20890bf81423e7f,natural_component_omission_unchanged
coronacases_002,pixel_dropout_matched_25,39,214,27,ed690f6a218dd7a37bac50d15198e7d31514c5f2931463ac6835be4c77c8fdd7,879e741c932b615d639f5ac1eececd79c78c016b166e0b6a3c7c16ca5de0ca9f,post_transfer_unique_voxel_pixel_equalization
coronacases_002,pixel_dropout_matched_50,132,214,27,ed690f6a218dd7a37bac50d15198e7d31514c5f2931463ac6835be4c77c8fdd7,c22180e5a2b6dca49605fb19259e0deea317eb9c1dd749bab97ddd5c7c4c44ea,post_transfer_unique_voxel_pixel_equalization
coronacases_002,pixel_dropout_matched_75,201,214,27,ed690f6a218dd7a37bac50d15198e7d31514c5f2931463ac6835be4c77c8fdd7,96f45bbe6f05ae2df03821d5aa2a5fa5b2fdbd7bc3c74d8e39155036ab132f88,post_transfer_unique_voxel_pixel_equalization
coronacases_003,complete,353,306,39,29c10339a835ad0d0056f28394ae4fcfd6ca354610dfc8dbc09e4d157a0cd3f9,a2ecec4f7b4883498817d6646ce876604638b46e677ae63d4b12c7e09eb6dba0,unchanged_from_v1_0
coronacases_003,complete_fixed_25,260,306,39,29c10339a835ad0d0056f28394ae4fcfd6ca354610dfc8dbc09e4d157a0cd3f9,87fdbe2e323cb9e2edf4d3fb271f9718b1ac83d29084a5986d60c0e13d2532fd,fixed_pair_side_already_at_shared_training_grid_target_unchanged
coronacases_003,complete_fixed_50,353,306,39,29c10339a835ad0d0056f28394ae4fcfd6ca354610dfc8dbc09e4d157a0cd3f9,a2ecec4f7b4883498817d6646ce876604638b46e677ae63d4b12c7e09eb6dba0,fixed_pair_side_already_at_shared_training_grid_target_unchanged
coronacases_003,complete_fixed_75,353,306,39,29c10339a835ad0d0056f28394ae4fcfd6ca354610dfc8dbc09e4d157a0cd3f9,a2ecec4f7b4883498817d6646ce876604638b46e677ae63d4b12c7e09eb6dba0,fixed_pair_side_already_at_shared_training_grid_target_unchanged
coronacases_003,component_fixed_25,260,306,10,29c10339a835ad0d0056f28394ae4fcfd6ca354610dfc8dbc09e4d157a0cd3f9,e05fa42b791b3a5d29df87e9044798ee2d82d9c3ddf2fd770d5664bf7b38d2d1,post_transfer_fixed_pair_unique_voxel_thinning
coronacases_003,component_fixed_50,353,306,20,29c10339a835ad0d0056f28394ae4fcfd6ca354610dfc8dbc09e4d157a0cd3f9,81873525b3d464ce0977f389d6a2abf2ab6bc02db51ac979b319e7ce8c9a7aed,post_transfer_fixed_pair_unique_voxel_thinning
