case_id,coverage,complete_unique_fg_capacity,required_complete_groups,natural_target_unique_fg,raw_pixel_unique_fg,raw_pair_exact,constructive_group_cover,prospective_exact_match_feasible,reason,pixel_voxel_change_if_corrected,target_minus_constructive_cover
coronacases_001,75,314,43,243,269,False,43,True,PASS,-26,200
coronacases_001,50,314,43,148,177,False,43,True,PASS,-29,105
coronacases_001,25,314,43,84,121,False,43,True,PASS,-37,41
coronacases_002,75,261,27,201,226,False,27,True,PASS,-25,174
coronacases_002,50,261,27,132,160,False,27,True,PASS,-28,105
coronacases_002,25,261,27,39,55,False,27,True,PASS,-16,12
coronacases_003,75,353,39,271,296,False,39,True,PASS,-25,232
coronacases_003,50,353,39,174,215,False,39,True,PASS,-41,135
coronacases_003,25,353,39,83,112,False,39,True,PASS,-29,44
coronacases_004,75,61,8,45,49,False,8,True,PASS,-4,37
coronacases_004,50,61,8,30,32,False,8,True,PASS,-2,22
coronacases_004,25,61,8,9,14,False,8,True,PASS,-5,1
coronacases_005,75,20,3,20,20,True,3,True,PASS,0,17
coronacases_005,50,20,3,9,8,False,3,True,PASS,1,6
coronacases_005,25,20,3,3,4,False,3,True,PASS,-1,0
coronacases_006,75,30,2,30,30,True,2,True,PASS,0,28
coronacases_006,50,30,2,14,18,False,2,True,PASS,-4,12
coronacases_006,25,30,2,14,18,False,2,True,PASS,-4,12
coronacases_007,75,72,9,54,61,False,9,True,PASS,-7,45
coronacases_007,50,72,9,44,54,False,9,True,PASS,-10,35
coronacases_007,25,72,9,28,33,False,9,True,PASS,-5,19
coronacases_008,75,245,33,194,210,False,33,True,PASS,-16,161
coronacases_008,50,245,33,124,151,False,33,True,PASS,-27,91
coronacases_008,25,245,33,68,82,False,33,True,PASS,-14,35
coronacases_009,75,65,9,44,54,False,9,True,PASS,-10,35
coronacases_009,50,65,9,36,42,False,9,True,PASS,-6,27
coronacases_009,25,65,9,19,23,False,9,True,PASS,-4,10
coronacases_010,75,59,6,54,54,True,6,True,PASS,0,48
coronacases_010,50,59,6,27,33,False,6,True,PASS,-6,21
coronacases_010,25,59,6,20,25,False,6,True,PASS,-5,14
radiopaedia_10_85902_1,75,13,2,13,13,True,2,True,PASS,0,11
radiopaedia_10_85902_1,50,13,2,12,13,False,2,True,PASS,-1,10
radiopaedia_10_85902_1,25,13,2,12,13,False,2,True,PASS,-1,10
radiopaedia_10_85902_3,75,22,2,22,22,True,2,True,PASS,0,20
radiopaedia_10_85902_3,50,22,2,12,16,False,2,True,PASS,-4,10
radiopaedia_10_85902_3,25,22,2,12,14,False,2,True,PASS,-2,10
radiopaedia_14_85914_0,75,226,28,159,183,False,28,True,PASS,-24,131
radiopaedia_14_85914_0,50,226,28,90,129,False,28,True,PASS,-39,62
radiopaedia_14_85914_0,25,226,28,39,63,False,28,True,PASS,-24,11
radiopaedia_27_86410_0,75,139,13,102,125,False,13,True,PASS,-23,89
radiopaedia_27_86410_0,50,139,13,72,94,False,13,True,PASS,-22,59
radiopaedia_27_86410_0,25,139,13,33,57,False,13,True,PASS,-24,20
radiopaedia_29_86490_1,75,4,2,4,4,True,2,True,PASS,0,2
radiopaedia_29_86490_1,50,4,2,2,2,True,2,True,PASS,0,0
radiopaedia_29_86490_1,25,4,2,2,2,True,2,True,PASS,0,0
radiopaedia_29_86491_1,75,28,3,28,28,True,3,True,PASS,0,25
radiopaedia_29_86491_1,50,28,3,16,21,False,3,True,PASS,-5,13
radiopaedia_29_86491_1,25,28,3,14,18,False,3,True,PASS,-4,11
radiopaedia_36_86526_0,75,331,33,243,271,False,33,True,PASS,-28,210
radiopaedia_36_86526_0,50,331,33,164,212,False,33,True,PASS,-48,131
radiopaedia_36_86526_0,25,331,33,83,115,False,33,True,PASS,-32,50
radiopaedia_40_86625_0,75,96,12,74,81,False,12,True,PASS,-7,62
radiopaedia_40_86625_0,50,96,12,61,66,False,12,True,PASS,-5,49
radiopaedia_40_86625_0,25,96,12,29,39,False,12,True,PASS,-10,17
radiopaedia_4_85506_1,75,240,30,172,200,False,30,True,PASS,-28,142
radiopaedia_4_85506_1,50,240,30,94,128,False,30,True,PASS,-34,64
radiopaedia_4_85506_1,25,240,30,50,77,False,30,True,PASS,-27,20
radiopaedia_7_85703_0,75,46,4,42,42,True,4,True,PASS,0,38
radiopaedia_7_85703_0,50,46,4,25,33,False,4,True,PASS,-8,21
radiopaedia_7_85703_0,25,46,4,15,19,False,4,True,PASS,-4,11
